Datetime,Timestamp,Time (s),Measurement,t1 (°C),RH1% (%),p1 (hPa),t2 (°C),RH2% (%),p2 (hPa),RHref (%RH),Tref (°C)
2025-01-29 13:27:16,1738150036,0.0,1,51.84,4.67,998.87,51.11,4.1,998.43,5.022917,51.983322
2025-01-29 13:27:17,1738150037,1.0,2,51.85,4.67,998.89,51.11,4.11,998.5,5.022322,51.983322
2025-01-29 13:27:18,1738150038,2.0,3,51.84,4.69,998.88,51.11,4.1,998.43,5.021712,51.983322
2025-01-29 13:27:19,1738150039,3.0,4,51.83,4.67,998.91,51.11,4.11,998.46,5.020994,51.98378
2025-01-29 13:27:20,1738150040,4.0,5,51.84,4.68,998.89,51.11,4.11,998.44,5.02085,51.984421
2025-01-29 13:27:21,1738150041,5.0,6,51.83,4.67,998.91,51.11,4.09,998.49,5.020405,51.986191
2025-01-29 13:27:22,1738150042,6.0,7,51.83,4.66,998.9,51.1,4.09,998.48,5.020405,51.986191
2025-01-29 13:27:23,1738150043,7.0,8,51.84,4.67,998.91,51.1,4.1,998.45,5.020308,51.989059
2025-01-29 13:27:24,1738150044,8.0,9,51.84,4.69,998.85,51.1,4.11,998.44,5.02027,51.991653
2025-01-29 13:27:25,1738150045,9.0,10,51.84,4.67,998.9,51.1,4.11,998.46,5.019819,51.993515
2025-01-29 13:27:26,1738150046,10.0,11,51.84,4.69,998.83,51.08,4.11,998.44,5.018583,51.993607
2025-01-29 13:27:27,1738150047,11.0,12,51.84,4.68,998.9,51.09,4.11,998.46,5.018204,51.995132
2025-01-29 13:27:28,1738150048,12.0,13,51.84,4.67,998.88,51.1,4.1,998.48,5.017565,51.995255
2025-01-29 13:27:29,1738150049,13.0,14,51.84,4.67,998.9,51.1,4.12,998.45,5.017129,51.997055
2025-01-29 13:27:30,1738150050,14.0,15,51.83,4.68,998.84,51.11,4.11,998.38,5.016564,51.999344
2025-01-29 13:27:31,1738150051,15.0,16,51.83,4.67,998.77,51.1,4.11,998.38,5.016564,51.999344
2025-01-29 13:27:32,1738150052,16.0,17,51.84,4.68,998.82,51.11,4.1,998.39,5.016595,52.001724
2025-01-29 13:27:33,1738150053,17.0,18,51.84,4.67,998.86,51.1,4.11,998.4,5.015539,52.003525
2025-01-29 13:27:34,1738150054,18.0,19,51.84,4.67,998.85,51.1,4.11,998.44,5.015803,52.00737
2025-01-29 13:27:35,1738150055,19.0,20,51.83,4.67,998.84,51.11,4.11,998.43,5.015803,52.00737
2025-01-29 13:27:36,1738150056,20.0,21,51.83,4.67,998.84,51.1,4.12,998.44,5.015338,52.009232
2025-01-29 13:27:37,1738150057,21.0,22,51.85,4.68,998.86,51.1,4.09,998.44,5.013906,52.010147
2025-01-29 13:27:38,1738150058,22.0,23,51.84,4.67,998.85,51.1,4.09,998.42,5.012701,52.010147
2025-01-29 13:27:39,1738150059,23.0,24,51.84,4.66,998.89,51.1,4.11,998.42,5.01238,52.011459
2025-01-29 13:27:40,1738150060,24.0,25,51.83,4.67,998.87,51.1,4.11,998.35,5.011793,52.011459
2025-01-29 13:27:41,1738150061,25.0,26,51.82,4.68,998.87,51.11,4.1,998.44,5.011147,52.011551
2025-01-29 13:27:42,1738150062,26.0,27,51.83,4.66,998.91,51.09,4.09,998.39,5.011147,52.011551
2025-01-29 13:27:43,1738150063,27.0,28,51.82,4.68,998.91,51.09,4.11,998.45,5.009948,52.011551
2025-01-29 13:27:44,1738150064,28.0,29,51.82,4.68,998.86,51.09,4.11,998.39,5.009948,52.011551
2025-01-29 13:27:45,1738150065,29.0,30,51.83,4.65,998.82,51.1,4.1,998.42,5.010121,52.013351
2025-01-29 13:27:46,1738150066,30.0,31,51.83,4.68,998.84,51.1,4.09,998.42,5.008724,52.014145
2025-01-29 13:27:47,1738150067,31.0,32,51.82,4.68,998.84,51.1,4.1,998.42,5.008724,52.014145
2025-01-29 13:27:48,1738150068,32.0,33,51.82,4.68,998.84,51.1,4.11,998.4,5.00769,52.015854
2025-01-29 13:27:49,1738150069,33.0,34,51.83,4.68,998.87,51.1,4.11,998.4,5.0071,52.015854
2025-01-29 13:27:50,1738150070,34.0,35,51.83,4.67,998.9,51.1,4.1,998.41,5.007275,52.017532
2025-01-29 13:27:51,1738150071,35.0,36,51.82,4.68,998.86,51.09,4.09,998.39,5.006939,52.023849
2025-01-29 13:27:52,1738150072,36.0,37,51.82,4.68,998.85,51.1,4.09,998.43,5.007204,52.025223
2025-01-29 13:27:53,1738150073,37.0,38,51.82,4.69,998.87,51.1,4.1,998.42,5.006295,52.026443
2025-01-29 13:27:54,1738150074,38.0,39,51.82,4.68,998.88,51.09,4.09,998.45,5.005501,52.029678
2025-01-29 13:27:55,1738150075,39.0,40,51.82,4.68,998.81,51.09,4.09,998.45,5.004312,52.03215
2025-01-29 13:27:56,1738150076,40.0,41,51.82,4.68,998.9,51.1,4.11,998.46,5.004239,52.034805
2025-01-29 13:27:57,1738150077,41.0,42,51.81,4.68,998.9,51.09,4.1,998.48,5.004239,52.034805
2025-01-29 13:27:58,1738150078,42.0,43,51.81,4.68,998.9,51.08,4.11,998.49,5.00382,52.039108
2025-01-29 13:27:59,1738150079,43.0,44,51.82,4.68,998.9,51.09,4.11,998.46,5.003923,52.04097
2025-01-29 13:28:00,1738150080,44.0,45,51.81,4.68,998.89,51.09,4.1,998.48,5.003449,52.042953
2025-01-29 13:28:01,1738150081,45.0,46,51.81,4.69,998.86,51.08,4.1,998.42,5.003449,52.042953
2025-01-29 13:28:02,1738150082,46.0,47,51.81,4.68,998.88,51.09,4.11,998.47,5.002864,52.042953
2025-01-29 13:28:03,1738150083,47.0,48,51.81,4.67,998.85,51.09,4.09,998.45,5.002864,52.042953
2025-01-29 13:28:04,1738150084,48.0,49,51.81,4.68,998.94,51.08,4.1,998.47,5.001836,52.044632
2025-01-29 13:28:05,1738150085,49.0,50,51.81,4.68,998.88,51.08,4.1,998.45,5.001698,52.045181
2025-01-29 13:28:06,1738150086,50.0,51,51.81,4.68,998.91,51.08,4.1,998.49,5.001106,52.045181
2025-01-29 13:28:07,1738150087,51.0,52,51.81,4.68,998.89,51.08,4.1,998.47,5.001106,52.045181
2025-01-29 13:28:08,1738150088,52.0,53,51.8,4.68,998.86,51.09,4.09,998.47,5.000591,52.047348
2025-01-29 13:28:09,1738150089,53.0,54,51.81,4.68,998.88,51.08,4.11,998.45,5.000591,52.047348
2025-01-29 13:28:10,1738150090,54.0,55,51.8,4.69,998.86,51.07,4.1,998.42,5.000533,52.049973
2025-01-29 13:28:11,1738150091,55.0,56,51.8,4.68,998.92,51.08,4.11,998.42,5.000082,52.056656
2025-01-29 13:28:12,1738150092,56.0,57,51.8,4.68,998.88,51.08,4.1,998.44,4.999498,52.056656
2025-01-29 13:28:13,1738150093,57.0,58,51.8,4.68,998.84,51.08,4.11,998.45,4.999374,52.057175
2025-01-29 13:28:14,1738150094,58.0,59,51.8,4.68,998.85,51.07,4.1,998.39,4.998762,52.057175
2025-01-29 13:28:15,1738150095,59.0,60,51.8,4.67,998.84,51.08,4.11,998.41,4.998375,52.058823
2025-01-29 13:28:16,1738150096,60.0,61,51.81,4.67,998.85,51.07,4.11,998.44,4.997787,52.061172
2025-01-29 13:28:17,1738150097,61.0,62,51.8,4.68,998.85,51.08,4.11,998.41,4.997197,52.061172
2025-01-29 13:28:18,1738150098,62.0,63,51.8,4.68,998.88,51.08,4.09,998.42,4.99658,52.061203
2025-01-29 13:28:19,1738150099,63.0,64,51.8,4.68,998.84,51.08,4.1,998.44,4.99658,52.061203
2025-01-29 13:28:20,1738150100,64.0,65,51.8,4.68,998.88,51.08,4.1,998.35,4.996276,52.064896
2025-01-29 13:28:21,1738150101,65.0,66,51.8,4.68,998.81,51.08,4.1,998.45,4.996094,52.065628
2025-01-29 13:28:22,1738150102,66.0,67,51.8,4.68,998.83,51.08,4.11,998.45,4.995363,52.066147
2025-01-29 13:28:23,1738150103,67.0,68,51.8,4.68,998.84,51.08,4.09,998.44,4.995436,52.070786
