Rank,Interval start (s),Interval end (s),Sum of abs(slope),Slope: Tref (°C),Slope: t1 (°C),Mean: Tref (°C),Mean: t1 (°C),Min: Tref (°C),Max: Tref (°C),Min: t1 (°C),Max: t1 (°C)
1,4290.000000,4349.000000,0.000013,0.000004,0.000009,58.881658,58.324333,58.880814,58.882309,58.320000,58.340000
2,5200.000000,5259.000000,0.000019,-0.000017,0.000002,59.017493,58.425000,59.016495,59.018082,58.420000,58.440000
3,6260.000000,6319.000000,0.000045,0.000024,0.000022,58.982018,58.431333,58.981430,58.983139,58.420000,58.450000
4,6480.000000,6539.000000,0.000045,0.000024,-0.000021,58.951250,58.412333,58.949173,58.953720,58.400000,58.420000
5,4300.000000,4359.000000,0.000047,0.000018,0.000029,58.881653,58.325500,58.880814,58.882217,58.320000,58.340000
6,5290.000000,5349.000000,0.000047,0.000038,0.000009,59.011972,58.425333,59.009384,59.015091,58.420000,58.440000
7,6250.000000,6309.000000,0.000048,0.000021,0.000027,58.981747,58.431833,58.979965,58.982803,58.420000,58.450000
8,4280.000000,4339.000000,0.000050,-0.000022,-0.000028,58.881766,58.324500,58.880814,58.883438,58.320000,58.340000
9,4760.000000,4819.000000,0.000053,0.000008,-0.000045,58.948614,58.367667,58.947586,58.949600,58.360000,58.380000
10,5140.000000,5199.000000,0.000056,-0.000032,-0.000024,59.017751,58.430167,59.016647,59.018967,58.420000,58.440000
11,5950.000000,6009.000000,0.000057,-0.000052,-0.000005,58.990078,58.434500,58.986526,58.991196,58.430000,58.440000
12,6240.000000,6299.000000,0.000062,0.000037,0.000025,58.981267,58.431833,58.979385,58.981949,58.420000,58.450000
13,5210.000000,5269.000000,0.000063,-0.000033,0.000030,59.017286,58.425000,59.015945,59.018082,58.420000,58.440000
14,5610.000000,5669.000000,0.000063,0.000050,-0.000013,58.984715,58.423667,58.983139,58.988113,58.420000,58.440000
15,5190.000000,5249.000000,0.000065,0.000007,-0.000058,59.017514,58.425333,59.016769,59.018082,58.420000,58.430000
16,5930.000000,5989.000000,0.000067,-0.000031,-0.000036,58.991116,58.435667,58.989609,58.992844,58.430000,58.440000
17,6320.000000,6379.000000,0.000068,0.000008,0.000061,58.983283,58.427667,58.981064,58.984756,58.420000,58.440000
18,6160.000000,6219.000000,0.000069,0.000007,-0.000062,58.977460,58.437333,58.976273,58.980026,58.430000,58.450000
19,5280.000000,5339.000000,0.000069,-0.000028,0.000041,59.011563,58.425500,59.009384,59.014633,58.420000,58.430000
20,4710.000000,4769.000000,0.000069,0.000023,0.000046,58.948248,58.360667,58.944931,58.949203,58.350000,58.370000
21,4270.000000,4329.000000,0.000069,-0.000051,0.000018,58.882149,58.325000,58.880814,58.884476,58.320000,58.340000
22,6170.000000,6229.000000,0.000072,0.000053,-0.000018,58.977730,58.436833,58.976273,58.980026,58.430000,58.440000
23,4340.000000,4399.000000,0.000073,0.000068,0.000004,58.883514,58.328333,58.881882,58.885483,58.320000,58.340000
24,5600.000000,5659.000000,0.000077,-0.000002,0.000075,58.984405,58.423667,58.983139,58.985916,58.410000,58.440000
25,6310.000000,6369.000000,0.000077,0.000043,-0.000034,58.983451,58.427500,58.982346,58.984756,58.420000,58.440000
26,6000.000000,6059.000000,0.000080,-0.000077,0.000003,58.985260,58.432833,58.983383,58.988998,58.420000,58.440000
27,5940.000000,5999.000000,0.000080,-0.000040,-0.000040,58.990678,58.435500,58.989059,58.992172,58.430000,58.440000
28,3830.000000,3889.000000,0.000085,0.000082,0.000002,58.855634,58.207667,58.853592,58.861343,58.200000,58.220000
29,6490.000000,6549.000000,0.000088,0.000084,0.000004,58.951730,58.411167,58.949173,58.955673,58.400000,58.420000
30,6040.000000,6099.000000,0.000091,-0.000021,0.000070,58.983439,58.431167,58.982651,58.984573,58.420000,58.440000
31,4440.000000,4499.000000,0.000094,0.000090,0.000004,58.894754,58.330000,58.892258,58.898056,58.320000,58.340000
32,6330.000000,6389.000000,0.000096,-0.000049,0.000048,58.982978,58.428500,58.979843,58.984756,58.420000,58.440000
33,6080.000000,6139.000000,0.000096,-0.000026,0.000070,58.982553,58.434833,58.981186,58.983414,58.420000,58.440000
34,6230.000000,6289.000000,0.000097,0.000050,-0.000048,58.980871,58.431833,58.979385,58.981949,58.420000,58.440000
35,5130.000000,5189.000000,0.000097,-0.000019,0.000078,59.017955,58.429833,59.016647,59.018967,58.420000,58.440000
36,5920.000000,5979.000000,0.000100,-0.000051,-0.000049,58.991608,58.435333,58.990250,58.994156,58.430000,58.440000
37,6070.000000,6129.000000,0.000100,-0.000021,0.000079,58.982799,58.433500,58.982040,58.983414,58.420000,58.440000
38,6180.000000,6239.000000,0.000100,0.000069,-0.000031,58.978107,58.436167,58.976273,58.980026,58.430000,58.440000
39,6150.000000,6209.000000,0.000105,-0.000040,-0.000065,58.977562,58.437167,58.976273,58.979904,58.430000,58.450000
40,5910.000000,5969.000000,0.000106,-0.000082,0.000024,58.992230,58.435000,58.990250,58.995163,58.430000,58.440000
41,6030.000000,6089.000000,0.000107,-0.000039,-0.000068,58.983752,58.431667,58.982651,58.985275,58.420000,58.440000
42,6300.000000,6359.000000,0.000108,0.000040,-0.000068,58.983129,58.428500,58.981857,58.984756,58.420000,58.440000
43,6130.000000,6189.000000,0.000110,-0.000106,-0.000004,58.978962,58.438500,58.976273,58.982346,58.430000,58.450000
44,5220.000000,5279.000000,0.000111,-0.000053,-0.000058,59.016817,58.424333,59.014389,59.018082,58.420000,58.440000
45,4260.000000,4319.000000,0.000114,-0.000083,0.000031,58.882762,58.324833,58.880814,58.885696,58.320000,58.330000
46,5180.000000,5239.000000,0.000115,0.000015,-0.000101,59.017492,58.426000,59.016647,59.018082,58.420000,58.430000
47,5430.000000,5489.000000,0.000116,-0.000020,-0.000096,59.025115,58.425500,59.022995,59.026199,58.420000,58.440000
48,4350.000000,4409.000000,0.000118,0.000092,-0.000026,58.884328,58.329333,58.881882,58.888657,58.320000,58.340000
49,5830.000000,5889.000000,0.000120,-0.000012,0.000108,59.000859,58.433167,58.998276,59.002121,58.420000,58.450000
50,6540.000000,6599.000000,0.000120,0.000061,0.000059,58.956698,58.409667,58.954025,58.958176,58.400000,58.420000
51,6190.000000,6249.000000,0.000120,0.000063,-0.000058,58.978586,58.435167,58.976547,58.980087,58.430000,58.440000
52,6270.000000,6329.000000,0.000123,0.000022,-0.000101,58.982138,58.430500,58.981461,58.983139,58.420000,58.450000
53,5990.000000,6049.000000,0.000125,-0.000103,0.000022,58.986199,58.433667,58.983749,58.989609,58.420000,58.440000
54,4360.000000,4419.000000,0.000126,0.000119,-0.000007,58.885558,58.329667,58.882919,58.889725,58.320000,58.340000
55,9160.000000,9219.000000,0.000126,-0.000124,-0.000002,64.209323,63.723500,64.206161,64.214859,63.720000,63.730000
56,5700.000000,5759.000000,0.000126,0.000081,0.000046,58.992222,58.407333,58.988571,58.994034,58.400000,58.420000
57,5260.000000,5319.000000,0.000127,-0.000101,0.000026,59.013188,58.424333,59.009445,59.016495,58.420000,58.430000
58,3820.000000,3879.000000,0.000128,0.000042,0.000086,58.854562,58.207333,58.852768,58.858353,58.200000,58.220000
59,6550.000000,6609.000000,0.000131,0.000040,0.000091,58.957264,58.410333,58.955673,58.958786,58.400000,58.420000
60,6010.000000,6069.000000,0.000134,-0.000047,-0.000087,58.984420,58.431667,58.983078,58.986526,58.420000,58.440000
61,5980.000000,6039.000000,0.000134,-0.000125,-0.000009,58.987236,58.434333,58.984573,58.991196,58.420000,58.440000
62,5240.000000,5299.000000,0.000136,-0.000115,-0.000021,59.014992,58.424667,59.011734,59.017593,58.420000,58.440000
63,5960.000000,6019.000000,0.000136,-0.000096,-0.000040,58.989198,58.433500,58.984695,58.991196,58.430000,58.440000
64,9560.000000,9619.000000,0.000138,-0.000006,-0.000131,64.125642,63.595833,64.123215,64.126266,63.580000,63.610000
65,6530.000000,6589.000000,0.000138,0.000089,-0.000049,58.955897,58.410000,58.952805,58.957779,58.400000,58.420000
66,4410.000000,4469.000000,0.000140,0.000111,0.000029,58.891857,58.328000,58.888840,58.894943,58.320000,58.340000
67,6140.000000,6199.000000,0.000144,-0.000081,-0.000063,58.978114,58.438000,58.976273,58.981186,58.430000,58.450000
68,5310.000000,5369.000000,0.000145,0.000135,0.000010,59.013294,58.426500,59.009384,59.017380,58.410000,58.440000
69,4310.000000,4369.000000,0.000145,0.000035,0.000110,58.881981,58.326667,58.880844,58.883560,58.320000,58.340000
70,9580.000000,9639.000000,0.000146,-0.000121,0.000025,64.124224,63.593500,64.118088,64.126266,63.580000,63.600000
71,5440.000000,5499.000000,0.000147,-0.000088,-0.000059,59.024427,58.424500,59.018814,59.026199,58.410000,58.440000
72,6050.000000,6109.000000,0.000147,-0.000015,0.000133,58.983183,58.431167,58.982529,58.983963,58.420000,58.440000
73,5300.000000,5359.000000,0.000148,0.000087,0.000061,59.012529,58.425667,59.009384,59.015945,58.420000,58.440000
74,5230.000000,5289.000000,0.000149,-0.000094,-0.000055,59.015926,58.424500,59.012100,59.017715,58.420000,58.440000
75,5850.000000,5909.000000,0.000150,-0.000140,-0.000010,58.999255,58.433667,58.995163,59.002121,58.430000,58.450000
76,6200.000000,6259.000000,0.000151,0.000063,-0.000088,58.979333,58.434833,58.977066,58.981949,58.430000,58.440000
77,5380.000000,5439.000000,0.000152,0.000141,0.000012,59.022161,58.431667,59.017838,59.025070,58.420000,58.440000
78,4330.000000,4389.000000,0.000154,0.000057,0.000097,58.882874,58.327333,58.881302,58.885117,58.320000,58.340000
79,4200.000000,4259.000000,0.000155,0.000012,0.000143,58.886974,58.317167,58.885361,58.889145,58.310000,58.330000
80,5590.000000,5649.000000,0.000157,-0.000060,0.000097,58.984615,58.422833,58.983139,58.987381,58.410000,58.440000
81,5170.000000,5229.000000,0.000158,0.000011,-0.000147,59.017475,58.427000,59.016647,59.018082,58.420000,58.440000
82,4210.000000,4269.000000,0.000158,-0.000038,0.000119,58.886907,58.319333,58.884476,58.889145,58.310000,58.330000
83,4400.000000,4459.000000,0.000158,0.000123,-0.000034,58.890585,58.328333,58.885818,58.893906,58.320000,58.340000
84,4750.000000,4809.000000,0.000160,-0.000003,0.000157,58.948514,58.367833,58.947586,58.948990,58.360000,58.380000
85,3840.000000,3899.000000,0.000160,0.000145,0.000016,58.856919,58.209333,58.853622,58.863297,58.200000,58.220000
86,4390.000000,4449.000000,0.000162,0.000137,-0.000025,58.889245,58.328333,58.885452,58.892685,58.320000,58.340000
87,5250.000000,5309.000000,0.000162,-0.000110,-0.000053,59.014110,58.424167,59.011734,59.017197,58.420000,58.440000
88,6280.000000,6339.000000,0.000162,0.000020,-0.000142,58.982329,58.430167,58.981491,58.983139,58.420000,58.450000
89,4700.000000,4759.000000,0.000165,0.000035,0.000130,58.947977,58.359167,58.944931,58.949203,58.340000,58.370000
90,4380.000000,4439.000000,0.000166,0.000139,-0.000027,58.887911,58.327333,58.884171,58.892258,58.320000,58.340000
91,6090.000000,6149.000000,0.000166,-0.000043,0.000123,58.982169,58.435833,58.980087,58.983353,58.420000,58.450000
92,5880.000000,5939.000000,0.000168,-0.000131,0.000037,58.995177,58.433833,58.991470,59.000137,58.430000,58.440000
93,6500.000000,6559.000000,0.000169,0.000131,-0.000038,58.952574,58.410667,58.949173,58.956253,58.400000,58.420000
94,5840.000000,5899.000000,0.000170,-0.000088,0.000082,59.000172,58.433667,58.995865,59.002121,58.420000,58.450000
95,6580.000000,6639.000000,0.000170,0.000111,0.000059,58.959823,58.412833,58.957352,58.962814,58.400000,58.420000
96,6100.000000,6159.000000,0.000172,-0.000066,0.000106,58.981498,58.436333,58.978592,58.983017,58.420000,58.450000
97,4020.000000,4079.000000,0.000172,-0.000021,0.000151,58.871318,58.271833,58.869461,58.873672,58.260000,58.290000
98,5150.000000,5209.000000,0.000173,-0.000029,-0.000144,59.017669,58.430000,59.016647,59.018967,58.420000,58.440000
99,6220.000000,6279.000000,0.000175,0.000049,-0.000127,58.980555,58.432667,58.979385,58.981949,58.420000,58.440000
100,6560.000000,6619.000000,0.000176,0.000074,0.000103,58.958133,58.411500,58.956192,58.961594,58.400000,58.420000
101,6020.000000,6079.000000,0.000176,-0.000037,-0.000139,58.984017,58.431667,58.983078,58.985275,58.420000,58.440000
102,6120.000000,6179.000000,0.000177,-0.000108,0.000069,58.979897,58.437833,58.976578,58.982468,58.430000,58.450000
103,9810.000000,9869.000000,0.000177,0.000000,0.000177,64.093150,63.596500,64.092545,64.093704,63.590000,63.610000
104,9750.000000,9809.000000,0.000177,-0.000144,-0.000034,64.096853,63.587833,64.094101,64.101303,63.580000,63.600000
105,5270.000000,5329.000000,0.000178,-0.000091,0.000087,59.012053,58.424333,59.009384,59.015823,58.420000,58.430000
106,6110.000000,6169.000000,0.000179,-0.000089,0.000090,58.980739,58.437500,58.977646,58.982468,58.430000,58.450000
107,6290.000000,6349.000000,0.000180,0.000029,-0.000151,58.982680,58.429333,58.981583,58.984116,58.420000,58.450000
108,5110.000000,5169.000000,0.000180,0.000034,0.000146,59.017831,58.428500,59.015945,59.018967,58.420000,58.440000
109,9670.000000,9729.000000,0.000180,-0.000155,0.000026,64.107518,63.597833,64.103378,64.112137,63.590000,63.610000
110,4240.000000,4299.000000,0.000181,-0.000103,0.000078,58.884535,58.322667,58.881699,58.888626,58.310000,58.330000
111,5690.000000,5749.000000,0.000182,0.000101,-0.000081,58.991389,58.407333,58.988571,58.993851,58.400000,58.420000
112,5320.000000,5379.000000,0.000183,0.000155,0.000028,59.014346,58.426500,59.009384,59.017563,58.410000,58.440000
113,6520.000000,6579.000000,0.000184,0.000115,-0.000069,58.954938,58.410167,58.950363,58.957535,58.400000,58.420000
114,6470.000000,6529.000000,0.000185,-0.000053,-0.000132,58.951434,58.413000,58.949173,58.955246,58.400000,58.420000
115,4430.000000,4489.000000,0.000187,0.000086,0.000101,58.893696,58.329667,58.890335,58.896622,58.320000,58.340000
116,5870.000000,5929.000000,0.000187,-0.000150,-0.000037,58.996692,58.433833,58.992905,59.002029,58.430000,58.450000
117,4370.000000,4429.000000,0.000188,0.000134,-0.000054,58.886649,58.328167,58.883347,58.890060,58.320000,58.340000
118,5540.000000,5599.000000,0.000188,-0.000164,0.000024,58.990899,58.417500,58.986557,58.997177,58.410000,58.430000
119,6060.000000,6119.000000,0.000190,-0.000017,0.000173,58.982948,58.432167,58.982101,58.983414,58.420000,58.440000
120,9170.000000,9229.000000,0.000190,-0.000103,-0.000087,64.208077,63.723167,64.204269,64.211288,63.710000,63.730000
121,5970.000000,6029.000000,0.000190,-0.000135,-0.000055,58.988222,58.433833,58.984573,58.991196,58.420000,58.440000
122,6340.000000,6399.000000,0.000191,-0.000121,0.000070,58.982215,58.429000,58.977371,58.984756,58.420000,58.440000
123,5330.000000,5389.000000,0.000191,0.000111,0.000080,59.015757,58.427333,59.010025,59.018204,58.410000,58.440000
124,5120.000000,5179.000000,0.000194,0.000001,0.000193,59.018027,58.428833,59.016983,59.018967,58.420000,58.440000
125,9530.000000,9589.000000,0.000194,-0.000021,-0.000173,64.125938,63.600000,64.124588,64.128036,63.590000,63.610000
