Datetime,Timestamp,Time (s),Measurement,t1 (°C),t2 (°C),Tref (°C)
2025-01-29 13:27:16,1738150036,0.000000,1,51.840000,51.110000,52.155441
2025-01-29 13:27:17,1738150037,1.000000,2,51.850000,51.110000,52.156723
2025-01-29 13:27:18,1738150038,2.000000,3,51.840000,51.110000,52.161545
2025-01-29 13:27:19,1738150039,3.000000,4,51.830000,51.110000,52.162033
2025-01-29 13:27:20,1738150040,4.000000,5,51.840000,51.110000,52.162216
2025-01-29 13:27:21,1738150041,5.000000,6,51.830000,51.110000,52.164200
2025-01-29 13:27:22,1738150042,6.000000,7,51.830000,51.100000,52.166428
2025-01-29 13:27:23,1738150043,7.000000,8,51.840000,51.100000,52.167435
2025-01-29 13:27:24,1738150044,8.000000,9,51.840000,51.100000,52.167984
2025-01-29 13:27:25,1738150045,9.000000,10,51.840000,51.100000,52.167984
2025-01-29 13:27:26,1738150046,10.000000,11,51.840000,51.080000,52.168381
2025-01-29 13:27:27,1738150047,11.000000,12,51.840000,51.090000,52.168594
2025-01-29 13:27:28,1738150048,12.000000,13,51.840000,51.100000,52.168930
2025-01-29 13:27:29,1738150049,13.000000,14,51.840000,51.100000,52.169449
2025-01-29 13:27:30,1738150050,14.000000,15,51.830000,51.110000,52.171555
2025-01-29 13:27:31,1738150051,15.000000,16,51.830000,51.100000,52.171829
2025-01-29 13:27:32,1738150052,16.000000,17,51.840000,51.110000,52.171860
2025-01-29 13:27:33,1738150053,17.000000,18,51.840000,51.100000,52.173203
2025-01-29 13:27:34,1738150054,18.000000,19,51.840000,51.100000,52.174911
2025-01-29 13:27:35,1738150055,19.000000,20,51.830000,51.110000,52.176559
2025-01-29 13:27:36,1738150056,20.000000,21,51.830000,51.100000,52.176559
2025-01-29 13:27:37,1738150057,21.000000,22,51.850000,51.100000,52.176956
2025-01-29 13:27:38,1738150058,22.000000,23,51.840000,51.100000,52.177536
2025-01-29 13:27:39,1738150059,23.000000,24,51.840000,51.100000,52.180161
2025-01-29 13:27:40,1738150060,24.000000,25,51.830000,51.100000,52.181107
2025-01-29 13:27:41,1738150061,25.000000,26,51.820000,51.110000,52.181107
2025-01-29 13:27:42,1738150062,26.000000,27,51.830000,51.090000,52.181931
