ts_iso,timestamp,time,cycle,p1,p2,p3,p4
2026-05-11T16:34:36.000016+03:00,1778506476.000016,0.000000,1,100.488,100.495,100.516,100.527
2026-05-11T16:34:41.000102+03:00,1778506481.000102,5.000086,2,100.489,100.495,100.519,100.517
2026-05-11T16:34:46.000098+03:00,1778506486.000098,10.000082,3,100.488,100.497,100.516,100.521
2026-05-11T16:34:51.000097+03:00,1778506491.000097,15.000081,4,100.487,100.492,100.514,100.527
2026-05-11T16:34:56.000099+03:00,1778506496.000099,20.000083,5,100.487,100.495,100.516,100.527
2026-05-11T16:35:01.000096+03:00,1778506501.000096,25.000080,6,100.488,100.495,100.516,100.531
2026-05-11T16:35:06.000096+03:00,1778506506.000096,30.000080,7,100.487,100.492,100.519,100.527
2026-05-11T16:35:11.000094+03:00,1778506511.000094,35.000078,8,100.488,100.492,100.516,100.531
2026-05-11T16:35:16.000095+03:00,1778506516.000095,40.000079,9,100.487,100.495,100.514,100.531
2026-05-11T16:35:21.000094+03:00,1778506521.000094,45.000078,10,100.487,100.492,100.514,100.531
2026-05-11T16:35:26.000093+03:00,1778506526.000093,50.000077,11,100.487,100.492,100.516,100.531
2026-05-11T16:35:31.000100+03:00,1778506531.000100,55.000084,12,100.487,100.495,100.516,100.527
2026-05-11T16:35:36.000091+03:00,1778506536.000091,60.000075,13,100.487,100.492,100.514,100.527
2026-05-11T16:35:41.000098+03:00,1778506541.000098,65.000082,14,100.487,100.495,100.522,100.531
2026-05-11T16:35:46.000088+03:00,1778506546.000088,70.000072,15,100.487,100.497,100.514,100.537
2026-05-11T16:35:51.000101+03:00,1778506551.000101,75.000085,16,100.486,100.495,100.516,100.527
2026-05-11T16:35:56.000094+03:00,1778506556.000094,80.000078,17,100.487,100.490,100.514,100.517
2026-05-11T16:36:01.000104+03:00,1778506561.000104,85.000088,18,100.485,100.492,100.514,100.531
2026-05-11T16:36:06.000093+03:00,1778506566.000093,90.000077,19,100.485,100.492,100.514,100.541
2026-05-11T16:36:11.000097+03:00,1778506571.000097,95.000081,20,100.484,100.490,100.514,100.491
2026-05-11T16:36:16.000099+03:00,1778506576.000099,100.000083,21,100.501,100.495,100.514,100.531
2026-05-11T16:36:21.000094+03:00,1778506581.000094,105.000078,22,100.483,100.492,100.514,100.521
2026-05-11T16:36:26.000094+03:00,1778506586.000094,110.000078,23,100.484,100.487,100.509,100.531
2026-05-11T16:36:31.000109+03:00,1778506591.000109,115.000093,24,100.484,100.495,100.512,100.527
2026-05-11T16:36:36.000096+03:00,1778506596.000096,120.000080,25,100.484,100.495,100.516,100.527
2026-05-11T16:36:41.000105+03:00,1778506601.000105,125.000089,26,100.501,100.492,100.512,100.531
2026-05-11T16:36:46.000094+03:00,1778506606.000094,130.000078,27,100.484,100.492,100.516,100.531
2026-05-11T16:36:51.000098+03:00,1778506611.000098,135.000082,28,100.484,100.490,100.514,100.521
2026-05-11T16:36:56.000095+03:00,1778506616.000095,140.000079,29,100.483,100.492,100.516,100.527
2026-05-11T16:37:01.000088+03:00,1778506621.000088,145.000072,30,100.483,100.490,100.509,100.531
2026-05-11T16:37:06.000095+03:00,1778506626.000095,150.000079,31,100.487,100.492,100.516,100.537
2026-05-11T16:37:11.000096+03:00,1778506631.000096,155.000080,32,100.483,100.492,100.516,100.517
2026-05-11T16:37:16.000105+03:00,1778506636.000105,160.000089,33,100.483,100.492,100.514,100.527
2026-05-11T16:37:21.000096+03:00,1778506641.000096,165.000080,34,100.483,100.487,100.507,100.521
2026-05-11T16:37:26.000096+03:00,1778506646.000096,170.000080,35,100.483,100.492,100.516,100.521
2026-05-11T16:37:31.000115+03:00,1778506651.000115,175.000099,36,100.498,100.492,100.512,100.517
2026-05-11T16:37:36.000096+03:00,1778506656.000096,180.000080,37,100.483,100.490,100.512,100.521
2026-05-11T16:37:41.000094+03:00,1778506661.000094,185.000078,38,100.483,100.487,100.512,100.491
2026-05-11T16:37:46.000093+03:00,1778506666.000093,190.000077,39,100.483,100.490,100.512,100.527
2026-05-11T16:37:51.000092+03:00,1778506671.000092,195.000076,40,100.482,100.490,100.512,100.517
2026-05-11T16:37:56.000101+03:00,1778506676.000101,200.000085,41,100.497,100.487,100.512,100.521
2026-05-11T16:38:01.000090+03:00,1778506681.000090,205.000074,42,100.499,100.492,100.509,100.507
2026-05-11T16:38:06.000100+03:00,1778506686.000100,210.000084,43,100.484,100.490,100.514,100.527
2026-05-11T16:38:11.000098+03:00,1778506691.000098,215.000082,44,100.499,100.490,100.514,100.517
2026-05-11T16:38:16.000096+03:00,1778506696.000096,220.000080,45,100.483,100.492,100.512,100.527
2026-05-11T16:38:21.000107+03:00,1778506701.000107,225.000091,46,100.498,100.490,100.514,100.527
2026-05-11T16:38:26.000094+03:00,1778506706.000094,230.000078,47,100.481,100.487,100.512,100.521
2026-05-11T16:38:31.000106+03:00,1778506711.000106,235.000090,48,100.481,100.487,100.512,100.521
2026-05-11T16:38:36.000094+03:00,1778506716.000094,240.000078,49,100.497,100.490,100.514,100.521
2026-05-11T16:38:41.000092+03:00,1778506721.000092,245.000076,50,100.499,100.492,100.514,100.521
2026-05-11T16:38:46.000089+03:00,1778506726.000089,250.000073,51,100.481,100.490,100.512,100.531
2026-05-11T16:38:51.000095+03:00,1778506731.000095,255.000079,52,100.499,100.490,100.514,100.517
2026-05-11T16:38:56.000094+03:00,1778506736.000094,260.000078,53,100.481,100.490,100.512,100.521
2026-05-11T16:39:01.000097+03:00,1778506741.000097,265.000081,54,100.480,100.490,100.514,100.517
2026-05-11T16:39:06.000095+03:00,1778506746.000095,270.000079,55,100.480,100.487,100.507,100.513
2026-05-11T16:39:11.000109+03:00,1778506751.000109,275.000093,56,100.479,100.490,100.509,100.527
2026-05-11T16:39:16.000098+03:00,1778506756.000098,280.000082,57,100.480,100.487,100.509,100.507
2026-05-11T16:39:21.000096+03:00,1778506761.000096,285.000080,58,100.482,100.490,100.512,100.521
2026-05-11T16:39:26.000096+03:00,1778506766.000096,290.000080,59,100.480,100.492,100.512,100.517
2026-05-11T16:39:31.000091+03:00,1778506771.000091,295.000075,60,100.494,100.490,100.509,100.513
2026-05-11T16:39:36.000115+03:00,1778506776.000115,300.000099,61,100.480,100.487,100.514,100.517
2026-05-11T16:39:41.000093+03:00,1778506781.000093,305.000077,62,100.480,100.487,100.509,100.517
2026-05-11T16:39:46.000094+03:00,1778506786.000094,310.000078,63,100.495,100.490,100.509,100.507
2026-05-11T16:39:51.000092+03:00,1778506791.000092,315.000076,64,100.478,100.490,100.512,100.513
2026-05-11T16:39:56.000091+03:00,1778506796.000091,320.000075,65,100.496,100.485,100.512,100.507
2026-05-11T16:40:01.000091+03:00,1778506801.000091,325.000075,66,100.494,100.490,100.509,100.517
2026-05-11T16:40:06.000091+03:00,1778506806.000091,330.000075,67,100.497,100.490,100.332,100.517
